x1,x2,y_type,y_score
,for talks,NOALI,NIL
,Russia,NOALI,NIL
,for Cameron and Putin,NOALI,NIL
Vote,,NOALI,NIL
for Greater Autonomy,,NOALI,NIL
Sri Lanka,,NOALI,NIL
's Tamils,,NOALI,NIL
,Syria,NOALI,NIL
,talks,NOALI,NIL
",",,NOALI,NIL
Delhi Gang Rape Suspect,Delhi gang-rape verdict,REL,4
`,,NOALI,NIL
,again,NOALI,NIL
Beaten,,NOALI,NIL
Poisoned,,NOALI,NIL
',,NOALI,NIL
,deferred,NOALI,NIL
,as,NOALI,NIL
Most powerful typhoon,Typhoon Utor,SIMI,3
,23,NOALI,NIL
of 2013,,NOALI,NIL
the Philippines,Philippines,EQUI,5
hits,Hits,EQUI,5
,Missing,NOALI,NIL
Calls,,NOALI,NIL
,rises,NOALI,NIL
,Death toll,NOALI,NIL
for more Egypt protests,from Egypt protests,SIMI,3
,to 49,NOALI,NIL
,",",NOALI,NIL
One dead,6 dead,SIMI,2
",",,NOALI,NIL
,in Cotabato blast,NOALI,NIL
11 hurt,33 hurt,SIMI,2
in LA car chaos,,NOALI,NIL
Suicide Bomber,Suicide Bomber,EQUI,5
14,11,SIMI,4
at Afghan Province Council,in Afghanistan,SPE1,4
Kills,Kills,EQUI,5
,in Suffolk,NOALI,NIL
of manslaughter,of murder,EQUI,5
,Man,NOALI,NIL
Mother,,NOALI,NIL
,after stabbing,NOALI,NIL
on suspicion,on suspicion,EQUI,5
arrested,arrested,EQUI,5
kills,,NOALI,NIL
after dog,,NOALI,NIL
daughter,,NOALI,NIL
soar,slump,OPPO,4
Stocks,Stocks,EQUI,5
on Wall St lead,on Wall Street,SPE1,3
killed,killed,EQUI,5
",",,NOALI,NIL
17,2,SIMI,2
in northern Iraq,in northern Lebanon,SIMI,2
wounded,wounded,EQUI,5
in bomb attacks,in clashes,SPE1,3
133,6,SIMI,1
,",",NOALI,NIL
,in tears,NOALI,NIL
's death,'s death,EQUI,5
,Radio prankster,NOALI,NIL
Royal sorrow,,NOALI,NIL
over nurse,over nurse,EQUI,5
,in hospital,NOALI,NIL
's 95th birthday,,NOALI,NIL
South Africans,South Africa,SIMI,4
ailing Mandela,'s former PM Nelson Mandela,EQUI,5
mark,,NOALI,NIL
,back,NOALI,NIL
The Note,The Note,EQUI,5
's Must-Reads,'s Must-Reads,EQUI,5
,",",NOALI,NIL
for Friday,for Friday,EQUI,5
",",,NOALI,NIL
"December 6 , 2013","July 12 , 2013",SIMI,2
,Car bomb,NOALI,NIL
,minister,NOALI,NIL
Israel,,NOALI,NIL
,,NOALI,NIL
,in Hezbollah Beirut bastion,NOALI,NIL
vows,,NOALI,NIL
after air strike,,NOALI,NIL
,four,NOALI,NIL
Hezbollah,,NOALI,NIL
to deny,,NOALI,NIL
,kills,NOALI,NIL
to Central African Republic,in Central African capital,REL,3
,Gun battles,NOALI,NIL
More French soldiers,,NOALI,NIL
,create,NOALI,NIL
,fresh panic,NOALI,NIL
Greece,Japan,SIMI,2
6.0-magnitude quake,5.0-magnitude quake,SIMI,3
--,,NOALI,NIL
USGS,,NOALI,NIL
hits,jolts,EQUI,5
North Korea Nuclear Test,North Korea nuclear test,EQUI,5
Worry,,NOALI,NIL
Sparks,,NOALI,NIL
,",",NOALI,NIL
Credibility,world credibility,SPE2,3
,,NOALI,NIL
on the line,on line,SIMI,3
over Syria,,NOALI,NIL
,Obama,NOALI,NIL
',,NOALI,NIL
`,,NOALI,NIL
,Congress,NOALI,NIL
weakens,weakens,EQUI,5
against USD Thursday,against USD Tuesday,SIMI,3
China 's yuan,China yuan,EQUI,5
to 6.2767,to 6.1818,SIMI,4
,open,NOALI,NIL
,Russian meteorite,NOALI,NIL
,leaves,NOALI,NIL
easy,,NOALI,NIL
high maintenance,,NOALI,NIL
Ai n't,,NOALI,NIL
being,,NOALI,NIL
,,NOALI,NIL
Zen Report,,NOALI,NIL
,building gaping,NOALI,NIL
kills,Kill,EQUI,5
policeman,3 Soldiers,SIMI,2
in Pakistan,in Pakistan,EQUI,5
Suicide bomber,Suicide Bombers,SIMI,4
to be sentenced,Sentenced,EQUI,5
Chicago man,,NOALI,NIL
for terror convictions,for Corruption,SIMI,3
,Kabul Bank Heads,NOALI,NIL
in early trading,in choppy trading,SIMI,3
rise,ease,SIMI,2
Stocks,US stocks,SPE2,4
say,,NOALI,NIL
UK police,China police,SIMI,2
,seek,NOALI,NIL
to helicopter crash,over crash,SPE1,3
,eight suspects,NOALI,NIL
no terrorism link,,NOALI,NIL
killed,killed,EQUI,5
,",",NOALI,NIL
41,15,SIMI,2
wounded,wounded,EQUI,5
",",,NOALI,NIL
in Iraq,in Iraq,EQUI,5
22,90,SIMI,2
in violent attacks,in fresh attacks,SIMI,4
Israel-Palestinian peace,,NOALI,NIL
Kerry,Kerry,EQUI,5
Jordan,to Israel,SIMI,3
on agenda,postpones,REL,2
",",,NOALI,NIL
,in one week,NOALI,NIL
to visit,visit,EQUI,5
,by deadline,NOALI,NIL
,scramble,NOALI,NIL
for Obamacare,for Obamacare,EQUI,5
signs up,to sign up,EQUI,5
,Americans,NOALI,NIL
Obama,,NOALI,NIL
over Benghazi,after Benghazi,EQUI,5
faulted,resigns,REL,2
US State Department,State Dept security chief,SPE1,3
must destroy,,NOALI,NIL
chemical weapons,,NOALI,NIL
Syria,Libya,SIMI,2
in Sinai,in Sinai,EQUI,5
Egypt Military,Egypt military,EQUI,5
Kill,kill,EQUI,5
",",,NOALI,NIL
Hit,hit,EQUI,5
Suicide Bombs,Suicide bombs,EQUI,5
6,4,SIMI,4
,",",NOALI,NIL
killed,injured,SIMI,3
Four Morsi supporters,as Morsi supporters,SPE1,4
in Egypt clashes,clash,SPE1,4
,with security forces,NOALI,NIL
,Dozens,NOALI,NIL
dropped,,NOALI,NIL
from case,on attempted murder charges,SPE2,3
Pistorius officer,Pistorius officer,EQUI,5
,vows,NOALI,NIL
,to repay,NOALI,NIL
in drone strike,in bloodshed,SIMI,3
killed,'s killing,EQUI,5
Pakistani Taliban chief Hakimullah Mehsud,Pakistan Taliban,REL,4
,",",NOALI,NIL
,revenge,NOALI,NIL
Pakistani Taliban chief Hakimullah Mehsud,Hakimullah,EQUI,5
suspect,suspect,EQUI,5
was captured,captured,EQUI,5
Police,,NOALI,NIL
,on film,NOALI,NIL
how,,NOALI,NIL
confirm,,NOALI,NIL
,Raid,NOALI,NIL
,on Boston Marathon bombing,NOALI,NIL
evacuation,evacuation,EQUI,5
of another city,"of homes , university",SPE2,4
forces,forces,EQUI,5
Flooding in Canada,California wildfire,SIMI,2
in Nigeria police attack,in Kenya bus attack,SIMI,1
Death toll,Death toll,EQUI,5
to 30,to six,SIMI,2
rises,rises,EQUI,5
,no argument,NOALI,NIL
soaring national debt ceiling,,NOALI,NIL
,insists,NOALI,NIL
,with Indonesia,NOALI,NIL
to scrap,,NOALI,NIL
Australia,Australian PM,REL,3
Iran,Iran,EQUI,5
,to preserve,NOALI,NIL
says,,NOALI,NIL
in nuclear talks,`` peaceful '' nuclear program,REL,2
,vows,NOALI,NIL
serious issues,,NOALI,NIL
remain,,NOALI,NIL
's Darfur,in Abyei clash,SIMI,1
Seven peacekeepers,Peacekeeper,SPE1,3
in Sudan,,NOALI,NIL
killed,killed,EQUI,5
voices,confirms,SIMI,2
on Syria,at Syria,EQUI,5
over Israeli strikes,second air strike,SPE2,4
UN,,NOALI,NIL
,Israeli official,NOALI,NIL
alarm,,NOALI,NIL
Egyptian police,,NOALI,NIL
at Brotherhood protesters,At Gang Rape Protesters,SIMI,2
tear gas,Tear Gas,EQUI,5
fire,Fired,EQUI,5
,India,NOALI,NIL
,,NOALI,NIL
,,NOALI,NIL
US Senate,House,SIMI,4
to vote,vote,EQUI,5
,-,NOALI,NIL
,Fiscal cliff,NOALI,NIL
,live,NOALI,NIL
,delays,NOALI,NIL
on fiscal cliff deal,on fiscal cliff deal,EQUI,5
as deadline,,NOALI,NIL
nears,,NOALI,NIL
in Colorado avalanche,in Colorado avalanche,EQUI,5
buried,killed,EQUI,5
,',NOALI,NIL
,',NOALI,NIL
5 people,5 snowboarders,SPE2,4
`` political '' changes,proposed cuts,SIMI,2
laments,,NOALI,NIL
,defends,NOALI,NIL
to US defense budget,in defense spending,SPE1,4
Hagel,Hagel,EQUI,5
new election law,new election law,EQUI,5
approve,approves,EQUI,5
Afghan legislators,Afghan president,SPE2,4
die,die,EQUI,5
Myanmar mosque fire,at mosque,SPE1,4
,Myanmar police,NOALI,NIL
,say,NOALI,NIL
13 children,13 children,EQUI,5
in fire,in electrical fire,SPE2,4
Birth Control,Contraceptive pill,SIMI,4
,',NOALI,NIL
With Higher Glaucoma Risk,glaucoma risk,EQUI,5
Linked,doubles,SPE2,4
,`,NOALI,NIL
health problem,stroke,SPE2,4
in hospital,in hospital,EQUI,5
due to,after suffering,SIMI,4
Iraqi president,Iraqi president,EQUI,5
in Beirut,in Beirut,EQUI,5
Near the Iranian Embassy,near Iranian embassy,EQUI,5
Explosions,Two blasts,SPE2,4
"carry-on liquids , gels",carry-on liquids,SPE2,4
to Russia,to Russia,EQUI,5
on flights,on direct flights,SPE2,4
bans,bans,EQUI,5
U.S.,US,EQUI,5
Nato troops,NATO strike,SIMI,4
kill,kills,EQUI,5
two Afghan children,11 Afghan children,SIMI,3
makes landfall,slams,SIMI,4
in east China,into southeastern China,SIMI,3
Typhoon Fitow,Typhoon Fitow,EQUI,5
not guilty plea,Not guilty plea,EQUI,5
enters,,NOALI,NIL
Judge,,NOALI,NIL
for James Holmes,for James Holmes,EQUI,5
to Alaska airport runway,to airport,SPE1,3
drivers,drivers,EQUI,5
Apple app,Apple app,EQUI,5
directs,sends,EQUI,5
family reunions,war-torn family unions,SPE2,4
postpones,postpones,EQUI,5
N Korea,North Korea,EQUI,5
still,,NOALI,NIL
elusive,,NOALI,NIL
of fiscal impasse,Amid Fiscal Impasse,EQUI,5
,has,NOALI,NIL
as path out,,NOALI,NIL
,Rare Sunday Session Days,NOALI,NIL
US Senate,US Senate,EQUI,5
to meet,,NOALI,NIL
Syria,,NOALI,NIL
welcomes,,NOALI,NIL
,",",NOALI,NIL
,six world powers,NOALI,NIL
's nuclear deal,breakthrough nuclear deal,SPE2,4
Iran,Iran,EQUI,5
,clinch,NOALI,NIL
Iran,Iran,EQUI,5
drone,U.S. drone,SPE2,4
losing one,it,EQUI,5
U.S.,U.S.,EQUI,5
,;,NOALI,NIL
;,,NOALI,NIL
denies,says 's not true,EQUI,5
says,says,EQUI,5
it,it,EQUI,5
captures,has seized,EQUI,5
from Libya 's al-Kweifiya prison,from Libyan jail,SPE1,4
escape,escape,EQUI,5
"More than 1,000 inmates",1000 prisoners,SPE2,4
in Cairo clash,in Egypt clashes,SPE1,4
dies,die,EQUI,5
Muslim Brotherhood supporter,Muslim Brotherhood supporters,SPE1,4
Thirty-Seven Dead,Thirty Dead,SIMI,4
In Italy Tour Bus Plunge,In Italian Bus Plunge,EQUI,5
lower,lower,EQUI,5
end,close,EQUI,5
Thursday,on Thursday,EQUI,5
China stocks,China stocks,EQUI,5
nuclear deal,nuclear deal,EQUI,5
possible,,NOALI,NIL
,wants,NOALI,NIL
says,,NOALI,NIL
with U.S.,,NOALI,NIL
Iran leader Rouhani,Iran President Hassan Rouhani,EQUI,5
within three months,in months,SPE1,4
holds,holds,EQUI,5
Maldives,Maldives,EQUI,5
fresh election for president,fresh presidential election,EQUI,5
Israel,Israel,EQUI,5
1500 settler homes,"1,800 more settler homes",SIMI,3
green-lights,unveils,SIMI,4
",",,NOALI,NIL
five accused,All five accused,EQUI,5
arrested,arrested,EQUI,5
Mumbai photojournalist gangrape case,Mumbai journalist gang-rape case,SPE1,4
cracked,,NOALI,NIL
,,NOALI,NIL
faces questions,questioned,EQUI,5
Driver,Train driver,EQUI,5
from judge,by judge,EQUI,5
in Spanish train crash,in Spain crash,EQUI,5
Israel,Israel,EQUI,5
in Gaza,near Damascus,SIMI,3
airstrike,air strikes,SIMI,4
launches,launches,EQUI,5
to fold,to fold,EQUI,5
Trailblazing Israeli electric car company,Trailblazing Israeli electric car company,EQUI,5
Better Place,,NOALI,NIL
for marriage,to get married,EQUI,5
conditional bail,bail,SPE1,4
Ankeet Chavan,Ankeet Chavan,EQUI,5
granted,granted,EQUI,5
in Spanish train crash,in Spanish high-speed train crash,SPE2,4
Up to 50 dead,Over 70 dead,SPE1,3
dies,dies,EQUI,5
,at 74,NOALI,NIL
Former spokesman for U.S. President Ronald Reagan,Former Reagan spokesman Larry Speakes,SPE2,4
lower,lower,EQUI,5
in early trade,,NOALI,NIL
US stocks,on Wall Street,REL,4
Weak earnings,Weak earnings,EQUI,5
drag,drag,EQUI,5
US stocks,stocks,EQUI,5
after helicopter crashes into pub,after helicopter pub crash,EQUI,5
Three feared dead,Three feared dead,EQUI,5
Israel,Israel,EQUI,5
's Peres,'s Peres,EQUI,5
urges,calls,SPE1,4
to peace talks,to peace talks,EQUI,5
return,for return,EQUI,5
US,US,EQUI,5
against Syria,against Syria,EQUI,5
readies,makes case,SIMI,3
possible solo action,for action,SPE1,3
found,found,EQUI,5
25 bodies,25 more bodies,SPE2,4
at raided Algerian gas plant,at Algerian gas plant,SPE1,4
,for last time,NOALI,NIL
Pope Benedict XVI,Pope Benedict XVI,EQUI,5
Says Goodbye,departs,REL,4
to Cardinals,Vatican,REL,4
the East Coast,East Coast,EQUI,5
zipping up,to slide up,SIMI,3
Tropical Storm Andrea,Tropical Storm Andrea,EQUI,5
to build,,NOALI,NIL
Israel,Israel,EQUI,5
,unveils,NOALI,NIL
900 settlement homes,for new settler homes,SPE1,4
advances,,NOALI,NIL
plan,plans,EQUI,5
Websites,Websites,EQUI,5
,by taking away,NOALI,NIL
anonymity,anonymity,EQUI,5
battle,fight,EQUI,5
nasty comments,nasty comments,EQUI,5
",",,NOALI,NIL
on fire,on fire,EQUI,5
sets,sets,EQUI,5
on the National Mall,at Washington 's National Mall,SPE2,4
himself,himself,EQUI,5
Man,Man,EQUI,5
after shots,after reports of shots,REL,3
,,NOALI,NIL
,live,NOALI,NIL
,Watch,NOALI,NIL
fired,fired,EQUI,5
on lockdown,on lockdown,EQUI,5
US Capitol Hill,US Capitol,EQUI,5
upholds,upholds,EQUI,5
death penalties,death sentences,EQUI,5
for Mekong murderers,for Mekong murderers,EQUI,5
Chinese court,Court,SPE1,4
Israeli forces,Israeli Forces,EQUI,5
in West Bank,across West Bank,SPE2,4
5 Palestinians,Five Palestinians,EQUI,5
detain,Arrest,EQUI,5
,Big,NOALI,NIL
third term,,NOALI,NIL
in German elections,in Germany Election,EQUI,5
wins,Wins,EQUI,5
Angela Merkel,Merkel,EQUI,5
at Russian train station,at Russian train station,EQUI,5
scores,,NOALI,NIL
15,14,SIMI,4
killed,kills,EQUI,5
in suicide bombing,Suicide bomber,EQUI,5
and,,NOALI,NIL
injured,,NOALI,NIL
election,in poll bid,SIMI,4
Cambodian opposition leader Sam Rainsy,Cambodia opposition head,SPE1,4
returns,turns,SIMI,4
to stir up,,NOALI,NIL
,to parliament,NOALI,NIL
,in building,NOALI,NIL
calls,calls,EQUI,5
Biden,Biden,EQUI,5
for trust,for trust,EQUI,5
in US-China relations,,NOALI,NIL
call,call,EQUI,5
in protest,Turkey unrest,SIMI,4
2 Turkish unions,Unions,SPE1,4
,,NOALI,NIL
on Monday,,NOALI,NIL
for strike,for strike,EQUI,5
over police violence,over police crackdown,SPE1,4
hospitalized,Hospitalized,EQUI,5
South African icon Nelson Mandela,South Africa 's Nelson Mandela,EQUI,5
,600m charge,NOALI,NIL
settles,settles,EQUI,5
,and,NOALI,NIL
,takes,NOALI,NIL
US mortgage lawsuit,US mortgage lawsuit,EQUI,5
UBS,UBS,EQUI,5
agree,,NOALI,NIL
to talks,rare talks,SPE2,3
,hold,NOALI,NIL
"North , South Korea","North , South Korea",EQUI,5
gun control plans,gun control plans,EQUI,5
Obama,Obama,EQUI,5
to announce,to set out,EQUI,5
Wednesday,,NOALI,NIL
Six Australians,Dozens,SPE1,2
killed,killed,EQUI,5
in Laos plane crash,in Laos plane crash,EQUI,5
,,NOALI,NIL
,`,NOALI,NIL
,',NOALI,NIL
confirms,finds,SPE1,4
in Syria attack,in Syria chemical weapons attack,SPE2,4
used,used,EQUI,5
sarin,sarin,EQUI,5
,War crime,NOALI,NIL
UN,U.N.,EQUI,5
,",",NOALI,NIL
$ 53m,$ 53 million worth,EQUI,5
of jewels,of jewels,EQUI,5
at hotel,,NOALI,NIL
,say,NOALI,NIL
Cannes thief,Robber in Cannes,EQUI,5
in armed heist,,NOALI,NIL
`,,NOALI,NIL
',,NOALI,NIL
,police,NOALI,NIL
steals,steals,EQUI,5
charged,charged,EQUI,5
with corruption,with corruption,EQUI,5
Ex-Virginia governor Bob McDonnell,"Virginia 's ex-Gov . Bob McDonnell , wife",SPE1,4
most senior Afghan Taliban prisoner,senior Taliban commander,REL,3
,on Saturday,NOALI,NIL
Pakistan,Pakistan,EQUI,5
to release,to release,EQUI,5
bites,bites,EQUI,5
costs,costs,EQUI,5
by a third,,NOALI,NIL
as rupee collapse,as rupee crisis,EQUI,5
Bollywood,Bollywood,EQUI,5
cuts,cuts,EQUI,5
neighborhoods,,NOALI,NIL
and,,NOALI,NIL
devastating,,NOALI,NIL
Tornadoes,"Tornadoes , damaging storms",SPE1,4
",",,NOALI,NIL
,",",NOALI,NIL
killing,killing,EQUI,5
6,5,SIMI,4
rip,hit,EQUI,5
through Midwest,U.S. Midwest,SPE2,4
rejects,rejects,EQUI,5
China 's new PM,China Premier Li,EQUI,5
US hacking claims,` groundless ' US hacking accusations,SPE2,3
New Zealand,New Zealand,EQUI,5
to legalise,to legalise,EQUI,5
set,votes,SIMI,3
gay marriage,same-sex marriage,EQUI,5
amid killings,Amid Killings,EQUI,5
bans,Bans,EQUI,5
martial arts clubs,Martial Arts Schools,EQUI,5
East Timor,East Timor,EQUI,5
,at finish line,NOALI,NIL
at Boston Marathon,of Boston Marathon,EQUI,5
,Report of,NOALI,NIL
Witnesses,,NOALI,NIL
loud booms,two explosions,SPE2,4
`,,NOALI,NIL
',,NOALI,NIL
hear,,NOALI,NIL
Kenya Supreme Court,Kenya SC,EQUI,5
upholds,upholds,EQUI,5
election result,election result,EQUI,5
10 Things,10 Things,EQUI,5
for Wednesday,for Today,SPE2,3
to Know,to Know,EQUI,5
Venezuela 's Hugo Chavez,Venezuelan President Hugo Chavez,EQUI,5
dies,dies,EQUI,5
of cancer,of cancer,EQUI,5
,at 58,NOALI,NIL
US Senate,US Senate,EQUI,5
confirms,Confirms,EQUI,5
Yellen,Janet Yellen,EQUI,5
as Fed 's next chair,as New Central Bank Chief,SIMI,3
in India anti-rape protests,in gang-rape protest,SPE1,4
injured,injured,EQUI,5
dies,dies,EQUI,5
Officer,Indian policeman,SPE2,4
Chemical Weapons Use,of Chemical Arms Use,EQUI,5
in Syria,by Syria,EQUI,5
Can not ` Conclusively Determine ',Sees No Conclusive Evidence,SIMI,4
US,U.S.,EQUI,5
dies,dies,EQUI,5
Nobel Prize winning author Doris Lessing,Nobel laureate Doris Lessing,EQUI,5
,at 94,NOALI,NIL
Senate,US Senate,SPE2,4
as Fed head,as Fed 's next chair,SPE2,4
confirms,confirms,EQUI,5
Yellen,Yellen,EQUI,5
in Virginia,in Virginia cemetery,SPE2,4
Boston bombing suspect,Boston bomb suspect,EQUI,5
buried,buried,EQUI,5
"Internet , phone service",Internet service,SPE1,4
in Syrian capital,in Syria,SPE1,3
restored,resumes,EQUI,5
Bomb Attack,bomb attack,EQUI,5
Syrian PM,Syrian PM,EQUI,5
Survives,survives,EQUI,5
,in capital,NOALI,NIL
prays,in prayer and song,SPE2,3
,unites,NOALI,NIL
for Nelson Mandela,for Nelson Mandela,EQUI,5
South Africa,South Africa,EQUI,5
die,killed,EQUI,5
in clashes,in Egypt clashes,SPE2,4
At least 38 Morsi supporters,Dozens of Morsi supporters,SPE1,4
on iPhone disappointment,after earnings disappointment,SIMI,3
,plunges,NOALI,NIL
hit,,NOALI,NIL
Apple shares,Apple stock,EQUI,5
,11 %,NOALI,NIL
hard,,NOALI,NIL
Egypt,Egypt,EQUI,5
to lure Gulf investors,to lure investors,SPE1,4
,...,NOALI,NIL
set,seeks,SIMI,3
Crowned,is crowned,EQUI,5
Miss America 2013,Miss America,SPE1,4
Miss New York,Miss New York,EQUI,5
mixed,mixed,EQUI,5
traded,,NOALI,NIL
at mid-day,at mid-day,EQUI,5
KLCI Futures,KL shares,REL,3
Iranian exiles,At least 47 Iranian exiles,SPE2,4
report deaths,killed,EQUI_FACT,5
in Iraq camp,at Iraq 's Camp Ashraf,SPE2,4
Helicopter,Helicopter,EQUI,5
in London,in London,EQUI,5
near rail station,,NOALI,NIL
crashes,crashes,EQUI,5
China,China,EQUI,5
flew into,defy,SIMI,3
Japanese planes,"Japan , S Korean military planes",SPE2,3
's new defense zone,'s new defense zone,EQUI,5
Janet Yellen,Janet Yellen,EQUI,5
US Senate,Senate,SPE1,4
confirms,confirms,EQUI,5
as US Federal Reserve chief,as next Federal Reserve Chair,SPE2,4
northern Europe,north . Europe,EQUI,5
as Storm Xaver,"as wind , rain",SPE1,4
batters,batters,EQUI,5
rises,rises,EQUI,5
to 6,,NOALI,NIL
Death toll,Storm death toll,EQUI,5
airline pilots,2 Turkish Airlines pilots,SPE2,3
in Lebanon,in Lebanon,EQUI,5
kidnap,kidnap,EQUI,5
Gunmen,Gunmen,EQUI,5
kills,kills,EQUI,5
in Pakistan,,NOALI,NIL
5,up to six,SPE1,4
U.S. drone strike,Pakistan drone strike,SIMI,2
push,pushes,EQUI,5
Syrian troops,Syrian army,EQUI,5
into strategic rebelheld town,on rebel-held town,SPE1,4
,assault,NOALI,NIL
Bangkok shutdown,Bangkok ` shutdown ',EQUI,5
Thai opposition protesters,Thai protesters,SPE1,4
begin,launch,EQUI,5
Hails,Welcomes,EQUI,5
France,France,EQUI,5
Breakthrough,,NOALI,NIL
after U.S.-Russia Deal,US-Russia Deal,EQUI,5
on Syria Weapons,on Syria,SPE1,4
Crushed to Death,dead,EQUI,5
in Ivory Coast Stampede,in Ivory Coast stampede,EQUI,5
About 60,61,SPE2,4
against student gunman,against student,SPE1,4
,key,NOALI,NIL
,to be,NOALI,NIL
Colorado shooting,,NOALI,NIL
Discipline,Discipline,EQUI,5
thought,thought,EQUI,5
to have sparked,,NOALI,NIL
,to motive,NOALI,NIL
,returns,NOALI,NIL
,plans,NOALI,NIL
,to work,NOALI,NIL
this month,,NOALI,NIL
,",",NOALI,NIL
Clinton,Clinton,EQUI,5
to testify,to testify,EQUI,5
on Benghazi attack,on Benghazi attack,EQUI,5
's custom-made wheelchair,'s wheelchair,SPE1,4
English Channel swimmer,Channel swimmer,SPE1,4
snatch,steal,EQUI,5
Thieves,Thieves,EQUI,5
report,,NOALI,NIL
in March,,NOALI,NIL
Kurdish rebels,Kurdish rebels,EQUI,5
from Turkey,from Turkey,EQUI,5
to withdraw,to withdraw,EQUI,5
,,NOALI,NIL
,blames,NOALI,NIL
,West,NOALI,NIL
Iranian president,Iranian minister,SPE1,4
for new nuclear talks,for failed nuke talks,SIMI,3
calls,,NOALI,NIL
Christmas,,NOALI,NIL
in hospital,,NOALI,NIL
to spend,,NOALI,NIL
,to open,NOALI,NIL
,this month,NOALI,NIL
,in South Africa,NOALI,NIL
Mandela,Mandela movie,REL,3
Chris Froome,,NOALI,NIL
rides,,NOALI,NIL
to Tour de France endgame,,NOALI,NIL
,Chris Brown concerts,NOALI,NIL
,new,NOALI,NIL
,canceled,NOALI,NIL
push back,,NOALI,NIL
erupt,,NOALI,NIL
,in Egypt attack,NOALI,NIL
as Islamists,,NOALI,NIL
in Egypt,,NOALI,NIL
,Coptic priest,NOALI,NIL
Clashes,,NOALI,NIL
,dead,NOALI,NIL
,shot,NOALI,NIL
pays tribute,pay tribute,EQUI,5
to Nelson Mandela,to Mandela,EQUI,5
Queen,US presidents,SIMI,3
11,seven,SIMI,3
Iraq violence,Iraq violence,EQUI,5
kills,kills,EQUI,5
,used,NOALI,NIL
rejects,,NOALI,NIL
"US , UK chemical arms claims",US,REL,1
Syria,Syria,EQUI,5
"US , UK chemical arms claims",chemical weapons,REL,2
,suspects,NOALI,NIL
at reporters ' dinner,during press dinner,EQUI,5
about himself,,NOALI,NIL
jokes,pokes fun at,EQUI,5
Obama,Obama,EQUI,5
,critics,NOALI,NIL
?,,NOALI,NIL
,Photos,NOALI,NIL
the nuclear option,,NOALI,NIL
is,,NOALI,NIL
,N. Korea nuclear readiness,NOALI,NIL
What,,NOALI,NIL
,show,NOALI,NIL
21,20,SIMI,4
Islamists,,NOALI,NIL
,in Turkish town,NOALI,NIL
kill,kill,EQUI,5
in Niger,near Syrian border,SIMI,2
in suicide attacks,Car bombs,SIMI,3
,US Congress,NOALI,NIL
,may throw,NOALI,NIL
No radiation leak,,NOALI,NIL
,wrench,NOALI,NIL
at Iran 's nuclear plant,into Iran nuclear deal,REL,3
,battle,NOALI,NIL
at least 40,,NOALI,NIL
,militants,NOALI,NIL
Twin bombings,,NOALI,NIL
kill,,NOALI,NIL
,",",NOALI,NIL
in Pakistan,Pakistani police,REL,2
,Now,NOALI,NIL
for March 11,for January 14,SIMI,2
News summary,News summary,EQUI,5
,,NOALI,NIL
among 14 killed,Six dead,SIMI,3
Schoolchildren,,NOALI,NIL
Indonesia,Indonesia,EQUI,5
by Indonesia volcano eruption,in Indonesian volcanic eruption,EQUI,5
,,NOALI,NIL
passes,passes,EQUI,5
Hawaii,US Senate,SIMI,2
gay marriage bill,gay workers bill,SIMI,4
0.4 % higher,higher,SPE1,4
Singapore stocks,Indian stocks,SIMI,2
close,open,OPPO,4
the Papers,the Papers,EQUI,5
",",,NOALI,NIL
"Mar. 12 , 2013","June 25 , 2013",SIMI,3
,",",NOALI,NIL
Say,Say,EQUI,5
What,What,EQUI,5
Singapore stocks,Singapore stocks,EQUI,5
0.11 pct,0.54 pct higher,SPE2,3
end up,close,EQUI,5
,appears,NOALI,NIL
,by Taliban,NOALI,NIL
,on video,NOALI,NIL
Pakistani girls,Pakistani girl,SIMI,4
learn,,NOALI,NIL
a hard lesson,,NOALI,NIL
,shot,NOALI,NIL
Funeral,,NOALI,NIL
takes place,,NOALI,NIL
' girlfriend Reeva Steenkamp,Steenkamp,EQUI,5
of Oscar Pistorius,Oscar Pistorius,EQUI,5
,in bathroom,NOALI,NIL
,shot,NOALI,NIL
,',NOALI,NIL
,`,NOALI,NIL
UK,,NOALI,NIL
,',NOALI,NIL
confirms,,NOALI,NIL
fears,,NOALI,NIL
,near,NOALI,NIL
over Syria,for Syria,EQUI,5
,End,NOALI,NIL
,`,NOALI,NIL
's chemical weapons,'s chemical weapons,EQUI,5
swears in,,NOALI,NIL
new interim leader,,NOALI,NIL
,cracks down,NOALI,NIL
,on Brotherhood,NOALI,NIL
Egypt,Egypt army,REL,3
,capsizes,NOALI,NIL
rescued,rescued,EQUI,5
"off Waterford , Dublin coasts",in Dublin Bay,SPE2,3
Ten,Six,SIMI,3
,after boat,NOALI,NIL
,from militants,NOALI,NIL
in Afghanistan,,NOALI,NIL
captured,,NOALI,NIL
,demand,NOALI,NIL
Senior Pakistani Taliban commander,Pakistan Shi'ites,REL,2
,protection,NOALI,NIL
initial report,,NOALI,NIL
releases,,NOALI,NIL
,Men,NOALI,NIL
,in China,NOALI,NIL
on water,,NOALI,NIL
,detained,NOALI,NIL
,after taking,NOALI,NIL
US,,NOALI,NIL
,to hotel,NOALI,NIL
on fracking impacts,,NOALI,NIL
,girls,NOALI,NIL
rises,rises,EQUI,5
from west Chinas violence,from NE China fire,SIMI,3
,,NOALI,NIL
,Urgent,NOALI,NIL
